"今年も、「雪降りメリクリ」目指して頑張ります！",MASTER,28.0,Saki41,実は結構難しいよねこれ
"Oshama Scramble!",MASTER,26.0,nomunomu,まさかの下限突破
Reverberate,MASTER,27.0,Saki,やっぱ固定4Kだとどうしてもこの難易度に。移動レーンと小粒はうんち
"Everlasting Today",MASTER,28.0,Saki28,ロングに非常にこだわりのある曲。中盤むずくないですか？
大宇宙ステージ,EXHAUST,29.0,Stage Saki,結構影薄いですが楽しい譜面ですよ
ツキノカメ,MASTER,29.5,Saki28,秦谷美鈴実装記念です
"超究極・傑ゼーレ　ボス戦BGM",MASTER,30,Saki28,超楽しい譜面だと思います。実は音源はのむのむからいただいたもの
Evans,MASTER,30.3,-prototype-,厨二臭い名前でごめんなさい
メモリア,MASTER,30.5,Saki3939,私を代表する神譜面の一つだと思います
AFTER PANDORA,MASTER,30.5,"CODE:Seele & ML/AKUL",サイゴノキボウ
χρόνος,MASTER,30.7,σεελε,"Πάντα ῥεῖ"
"Rrhar'il",IN,30.8,Saki28,なんで当時あんなにサクッと攻略されたの？
"End Time",MASTER,31.6,クールタイム2時間7分,20分5連を24分3連+16分2連で初稿は置いてました。後から修正したのはそれです。
"〚献身〛 ～Paradox of Choice",MASTER,31.1,nomunomu,実は5拍子主体のとこが結構ある、珍しい
"Undying Macula",MASTER,31.2,Onigiri1360,めちゃ簡単ですね
"INFiNiTE ENERZY -Overdoze-",MASTER,31.2,(長すぎるのでコメントに),難易度表破壊(物理)するところだった(のむのむ)
"Diamond Dust",MASTER,31.3,nomunomu,一応テストプレイはしたけど押しやすい鍵盤ばかりで面白かった
"Crimson Phoenix",MASTER,31.3,nomunomu,こんなあっさりFC出されまくる譜面ではないと思うんですよ
"《破滅》〜Rhapsody for the End〜",MASTER,31.3,Saki28,割と難しいと思って作ったんですがどうやらそうでもなかったようで泣く泣く降格
"グラウンドスライダー協奏曲第一番「風唄」",MASTER,31.3,Saki28,いつかReal譜面作ります
脳漿炸裂ガール,MASTER,31.3,前方不注意のむのむ,若干キーボード有利譜面
"初音ミクの消失-劇場版-",MASTER,31.4,Saki39,セリフ合わせ大変でした
"PANDORA PARADOXXX",MASTER,31.4,Saki28,みんな白に目取られて認知度低いの泣きました。しょうがないけど
ネクラチューンサーカス,MASTER,31.4,nomunomu,全体的に2-2とか1-3軸の譜面構成、でも後者はMalodyだとわかんねんだよな
parvorbital,MASTER,31.5,"Saki vs Antinomy Pale","Antinomy Pale君初登場。親和性すごいよね？"
"其方、激昂",MASTER,31.5,Saki28,empty
"Glorious Clown(tpz over-over-over cute Remix)","Speedrun!",31.6,Saki28,体力譜面ですね。無事31に昇格
GODLINESS,MASTER,31.6,CODE:Seele,"GODLINESS"" is in your heart"
"Theatore Creatore",MASTER,31.6,nomunomu,"曲がいいよね～　もう一つの譜面といい感じに差別化できてると思います"
"I Wanna",OLIVIER,31.7,For Ultimate Players,初見ツインFCされました。
"ヱテルナ・ガラクシア",OLIVIER,31.7,Saki28,"譜面制作はしばらくご無沙汰ですね。え？l Wannaの方が弱い？うーん…"
システム,MASTER,31.7,ザクロリーター,
宿星審判,MASTER,31.8,Onigiri1360,"一応この定数では出しました…許されなかったら虹行きです"
冥,Another,31.8,終り無き冥王星への旅,指がしんどい
βlαnoir,MASTER,31.8,Saki28,初期の譜面にしては出来過ぎじゃない？
"BATTLE NO.1",MASTER,31.8,"譜saki ボーイズからの挑戦状",ご協力いただいた6人ありがとうございました
オーバーライド,MASTER,31.8,mirai,どこだ最初簡単にするとか言ってたクソボケは
Climax,MASTER,31.8,mirai,"これからは定期的に単独で投げてくれるみたいです。楽しみ^ ^"
蜘蛛の糸,MASTER,31.8,nomunomu,ウニで癖ついた配置そのまま持ってきたせいでできねえ
ANiMA,MASTER,31.8,nomunomu,隠れ家Malody入門譜面
仮装狂騒曲,MASTER,31.5,とんこつPの花海subki,狂騒曲といえば…？
"Forsaken Tale",EXPERT,32.0,Saki28,MASTERはお預けで
"Λzure Vixen",MASTER,32.1,nomunomu,まあいつか本気のRe:MASTERかWE狂を出すかもね
"Armageddon",MASTER,32.2,"Antinomy Pale",何気に単独は初めて、俺はこの譜面面白いと思います
"NOTES RUSH!",MASTER,32.3,Saki28,めちゃくちゃ個人差出ててびっくりしました
盟月,MASTER,32.3,Yodo,empty
0,MASTER,32.39,mirai,empty
Aiolos,MASTER,32.4,mirai,大人しくしろって言われたので大人しくしました
音楽,Another,32.4,"Sakinomy Pale","Antinomy Pale君が一晩でやってくれました"
"Oshama Scramble!",ULTIMA,32.4,のむのむ&ぜーれ,軸と24分、かなりウニテイストを感じる譜面に(のむのむ)
Synthesis.,MASTER,32.4,"nomunomu vs mirai",なんでこのコンビだと途端にまともな譜面になるんですかね
macrocosmos,MASTER,32.5,譜面ボーイからの挑戦状,なかなかやってる譜面だと思います。ええ。
Wizdomiot,MASTER,32.5,"saki & mirai ",どっちがどこを作ったか一瞬で当てられました…俺の負けです
"Schrecklicher Aufstand",MASTER,32.5,"Saki vs plenTY love",新しい仲間です
"Acid God",MASTER,32.5,Saki28,解釈一致譜面にできてよかったと思います
多次元宇宙融合論,FUTURE,32.5,"Beyond the Sky...",作譜難易度は36あったけど人気なようでなによりです
"To：Be Continued",MASTER,32.6,"Saki vs Yodo",今回暴れたのはSakiです。ごめんね(^^)
TEmPTaTiON,MASTER,32.6,Mirai,最後は気合いでどうにかしてください
階段練習曲,Insane,32.6,Saki28,久々すぎて難易度決めが怪しい定期
Alea jacta est!,MASTER,32.7,mirai,24分片手トリル←なに
メッちゅう殴打,MASTER,32.7,地雷系ガーネット,RJ01508847 vs RJ376956
Sunset Toybox,MASTER,32.7,Saki28,empty
Air,MASTER,32.8,mirai,最後そのまま持ってきてごめんなさい
I,MAXIMUM,32.8,sakI ,ブラックアウト再現は無理でした
FestA of PandemoniuM,Re:MASTER,32.8,nomunomu for half anniversary,こうしてみると虹送りされたあいつ、完成度「は」(←ここ大事)高かったんだな
"Destruction3.2.1",AT,32.1321,Saki321?,今からでも前半に置いた16分5連トリルなんとかなりませんか？
Distorted Fate,AT,33.0,Saki28,ソフラン加味しても33にしては弱かった様子。ちなみに作者超お気に入り譜面です
魑魅魍魎,MASTER,33.0,Saki28,りょうちちもみもm…なんもないです
交響詩「悪魔の誕生」,EXPERT,33.0,悪魔は再び眠りについた…,上に同じく。ラスゲー辛いけどがんばれ
怒槌,MASTER,33.0,譜面ボーイからの挑戦状,これでトドメだー！
PANDORA PARADOXXX,Re:MASTER,33.1,CODE:Dualität & KAMEITOKO,"the ""BLACKBOX"" was opened…"
sølips,MASTER,33.1,I am …,Who are you?
キミとボクへの葬送歌,MASTER,33.1,Nomunomu Xrodiena,いい曲ですね。そして葬送歌といえば、、、？
Love & Justice,MASTER,33.1,Antinomy Pale,単独譜面としてはお久しぶり。やりたいことができたようです
Peroizor³,MASTER,33.1,Saki28 vs Antinomy Pale vs Onigiri1360,empty
Lazulis Gambit,MASTER,33.2,nomunomu for challengers,ノリと勢いで押せば案外いけるんじゃないかな
ω4,MASTER,33.2,nomunomu,割と好きな譜面でした、それはそうと33量産して難易度表荒らすのやめてください
業-善なる神とこの世の悪について-,MASTER,33.2,Malodyボーイズからの挑戦状,割と押しやすい鍵盤多めで楽しいと思います
Rrhar'il,AT,33.2,Saki,ちょっとした黒歴史だったりする
Singularity ,MASTER,33.2,plenTY love,ナーフに次ぐナーフ定期。なお初めての単独
ÅMARA(大未来電脳),MASTER,33.2,xxxxxxxxxxxxxxxxx,超絶前衛的なとてもchallengingな譜面ですね(のむのむ)
^/7(Ll?［_(L+＃＜＞+＆l^(o),GIGA,33.2,"7_(L|Xv£Ø£!-|-(L","9[][]|)|-|(_)|\/|3/\/"
Calamity Fortune,MASTER,33.3,mirai,レギュはちゃんと読みましょう
脳天直撃,MASTER,33.3,mirai,俺は最大限止めましたよええ
"TiamaT:F minor",MASTER,33.3,"CODE:CatastroPhe",ティアマトフリックそのまま置いたら税関に怒られました(のむのむ)
"Theatore Creatore",ULTIMA,33.3,nomunomu,"もちろんあるよね黒譜面。ウニと比べるとかなり優しいと思う"
Ascention to Heaven,MASTER,33.3,Mirai,最近まともな譜面が増えてきてニッコリ
Evil Emperor,MASTER,33.3,Onigiri1360,突貫工事ではあったけどいい譜面に仕上がったと思います
Cuvism³,INSANE,33.3,Saki28 & Antinomy Pale & Onigiri1360,empty
初音ミクの激唱,MASTER,33.39,mirai,empty
Excalibur ～Revived resolution～,MASTER,33.3,Zakulolita,最初ラストを24分トリルにして怒られた
グローリー・ワンダーランド,OLIVIER,33.4,Saki28,お待たせしました。nカ月を経てようやく調整版が出ました
あの日、あの部屋で、あったこと,MASTER,33.4,nomunomu,曲がいいよね～～～って赴くままに置いたらむずくなっちゃったw 税関「なにわろてんねん」
World Vanquisher,MASTER,33.4,Malody Chartボーイズからの挑戦状,実は裏に結構な人数がいます
Everything Will Be One,MASTER,33.4,"TraNsforM ""STAR""",バンキシャとお隣かつ同時実装、エモいね
Sargasso,MASTER,33.4,CODE:Seele,・・・－－－・・・
LAMIA,MASTER,33.4,"nomunomu vs Antinomy Pale","普段は真面目な奏坂学園次期学園長。しかし……負のオンゲキが始まると(以下略)"
POTENTIAL,MASTER,33.5,"Show me your ""Malody""",(ウニ+ゲキ)÷2 (のむのむ) 演出担当は俺です。オーダー通りなので殺さないで…(さき)
Latent Kingdom,MASTER,33.5,Antinomy Pale vs mirai ,Sakiは譜面制作には一切関わっていません
ENDYMION,MASTER,33.5,nomunomu vs Onigiri1360,ウニそのまんま置いたら裏税関に36だって怒られました(のむのむ)
Archidoxen,MASTER,33.5,Onigiri1360,ギリギリ許されました
QZKago Requiem,MASTER,33.5,nomunomu,パワー
ΩΩPARTS,MASTER,33.5,nomunomu+ω,いつかフル尺で作ってみたいね。+ωに特に意味はないです
雪男,MASTER,33.5,恐怖！雪男(　 'ω'　),税関は32でもいいと思うんですよ(過激)
Heinous Яeaper,MASTER,33.5,Saki vs mirai,未来、いるのか？
a truth seeker -Communication with Utopia-,RAVAGE,33.5,Saki28 vs Antinomy Pale,empty
Ultimate Force,MASTER,33.6,Saki28を止められるかな?,初稿はアホでした。うまりんごめんね
淵底のグレイ・ユークロニア,MASTER,33.6,nomunomu respect for 夕凪アロエ,そんなに難しくないと思ったんだけどな〜
Selenadia,MASTER,33.6,nomunomu,形がやさしめだから意外と33で収まったわ
Chronomia,MASTER,33.6,plenTY love vs Antinomy Pale,これ並んでるのエモいですよね
otorii INNOVATED -[i]3-,MASTER,33.6,NMИ-00100,ごめんなさい
TRⅢDiM3NXi0NaL,INSANE,33.6,Code:Xiroz vs Dualität,前座が税関絡みって珍しいですよね
Re：End of Dream,MASTER,33.6,nomunomu vs plenTY Love,悪いのは80%ぐらいplenTY Love
電脳スペクタクル,MASTER,33.6,CODE:Seele,"100 0 10 101 00"
初音ミクの消失,MASTER,33.6,miraiの消失,empty
ABSOLUTE EVIL,MASTER,33.6,nomunomu vs Zakulolita,原材料がざくで調理がのむのむって感じ
天使の追放,MASTER,33.6,Antinomy Pale,後半おじいちゃんにはきつい
Open The Gate,MASTER,33.6,Onigiri1360,作るの大変でした
OЯDIN -Apocalyptic War-,MASTER,33.6,Onigiri1360,テンパって表記難易度32にしちゃったのは俺ですごめんなさい
World's End loneliness,MASTER,33.7,Saki28 vs nomunomu,最後は自信をもってやりきった配置です(のむのむ)  ソフラン大好き(さき)
Crush the Dystopia,MASTER,33.7,nomunomu,出張想定で置いたけどさきに押し分けたほうが楽って言われた
Retribution ～ Cycle of Redemption ～,Re:MASTER,33.7,Saki28 & Antinomy Pale  respect for Onigiri1360,現代風アレンジです
ネクラチューンサーカス,Re:MASTER,33.7,nomunomu,曲の持つポテンシャルをフルに活かした1ヶ月越しの正統強化譜面
花火のための幻想曲,MASTER,33.7,Onigiri1360,単独名義だけど1/3くらいSakiが書いてます
Stardust:RAY,MASTER,33.8,nomunomu supported by Saki28,時が経つにつれどんどん隠れ家Malody界のJoyeuseになってる
What's up? Pop!,MASTER,33.8,mirai respect for plenTY love,本人達曰くこれでもナーフしたそうな
eden,MASTER,33.8,“漆黒”の堕天使《Saki28》†Versus† “聖刻”の熾天使《Nomunomu》,ND名長すぎね　それはそうと普通に33最強譜面だと思います
Dutedimpianekepusaan -分散的絶望夢-,RAVAGE,33.8,Saki28,empty
μ3,MASTER,33.4,Saki28,作者超お気に入り譜面。譜面も難しいけど見る分には好きです
666,MAXIMUM,33.6,Saki666,蔵譜面？知らんな
raputa,MASTER,32.4,β41U $,実はヨドがバックに付いてたり
Apollo,MASTER,33.9,sasakiri.UK,演出を色々お試しで試してみるついでに譜面を再制作。これからも暇だったら演出入れます
X.E.N.O,MASTER,33.2,縺九＞縺帙″縺ｵ縺ｮ繝ｼ,縺医ｓ縺励ｅ縺､縺吶″縺吶″
リ・フィクション・O,MASTER,33.9,CODE:Seele,止めどない機憶が熄みを　望むなら　其処はリ・フィクション・O
真っ黒ナイト・オブ・ナイツ,MASTER,34.3,Saki vs Antinomy Pale,闇夜に散れ…
Viyella's Scream,MASTER,34.3,mirai,今度は消えないといいね
girls.exe,MASTER,34.0,malody_chart108.exe,Program completed.
"vs. VIGVANGS",MASTER,34.0,Antinomy Pale vs Saki,即日シリーズ第3弾です。今回は向こう主流でやっていただきました
人生,MASTER,34.0,Malody Chartボーイズからの挑戦状,ご協力ありがとうございました　ただしplenTY love、貴様は処す(のむのむ)
Elemental Creation,MASTER,34.0,DJ SAKATA meets DJ NOMURA,な、なんだって　め、メリクリだと？
Makear,MASTER,34.1,mirasakiPunch♬,mirai ←ただのヤバいやつになってて草
Clockwork Paradox,INSANE,34.1,Onigiri1360,初の単独34ですね、次は...
Λkasha,MAXIMUM,34.1,Saki28 feat. nomunomu ,高速譜面、シンプルな地力勝負
Villain Virus,MASTER,34.2,Saki vs Antinomy Pale,体力があれば稼ぎかもしれないですね
Crossmythos Rhapsodia,MASTER,34.2,Saki vs Antinomy Pale,脅威の作業スピードですぐ完成…遅くまでご協力あざした
Pentiment,MASTER,34.2,nomunomu contend with CODE:Seele,- MARK OF SUBMISSION -
Arcana Eden,MASTER,34.2,Antinomy Pale vs CODE:Seele vs nomunomu,- MARK OF SURVIVAL -
輪廻玲々,MASTER,34.2,"TraNsforM ""CRYSTAL""",初稿ほぼそのままです
Sephirah×CusteR,MASTER,34.2,Onigiri1360,これできるなら本家AJできる
鳳,MASTER,34.3,Antinomy Pale vs Onigiri1360,睡眠大事
Lachryma《Re:Queen’M》,GRAVITY,34.3,Antinomy Pale vs nomunomu,初のタッグ、どちらも高難易度メーカー故必然的に34に
天地遍く治めるは我が[X]VII条の神光,MASTER,34.3,Saki vs Antinomy Pale,ご無沙汰しております。頑張りました(もらいました)。
ダイジョブですか？,MASTER,34.39,"ミ゛ラ゛イ゛ですか？",empty
マシンガンポエムドール,MASTER,34.3,nomunomu,作った当時は最強の物量譜面だったけど待ってる間にインフレ進んだねえ、、、
RENDA JOCEKY,MASTER,34.3,Saki28,empty
Never End,MASTER,34.4,Never End,The Antinomy Story will be Continued…
Op.I《fear-TITΛN-》,MASTER,34.4,nomunomu -Spring Memory-,後半の配置がいかつすぎて無事34に
生命性シンドロウム,MASTER,34.4,縺ｮ繧?縺ｮ繧?,"実は点滅ギミックの初出はここだったりする　なお2ヶ月ぐらいマコモ譜面"
Cold Fusion,MASTER,34.4,Zakulolita,"Low-Energy Nuclear Reaction"
轆轤首,MASTER,34.4,"TraNsforM NEW",ダートの続編じゃなくて良かった〜
MY GLORY WANTED!!!,MASTER,34.4,奏坂学園 Malody譜面部からの挑戦状,奏坂学園 Malody譜面部(在籍1名)
Amnéhilesie,MASTER,34.4,ZakulolitA,33上位という予定で作ってました
飈,MASTER,34.4,鮭おにぎり(Saki28+Onigiri1360),empty
Edgelord,MASTER,34.4,Onigiri1360,edgelordって重度厨二病って意味のスラングらしいです
Traxxendenza,MASTER,34.4,Antinomy Pale vs Sypher Brezel,empty
World's end BLACKBOX,MASTER,34.5,CODE:Seele & Xiroz,* Simulating 7sRef world... [ ok ]
Tru'nembra,MASTER,34.5,"TraNsforM ""AIR""",コF配置、休憩前、混沌地帯、、、再現しようとして怒られた配置は数知れず
OUTRAGE,MASTER,34.5,"TraNsforM ""AMAZON""",2159ノーツ←な、なにごと
カルぺ・ディエム,OLIVIER,34.5,Saki vs Antinomy Pale,速さの暴力すぎる
色を喪った街,MAXIMUM,34.5,"Zakulolita feat. Garnet","結局、ここにも無かったーー確かに憶えていたはずの、あの色・・・"
今年も、「雪降りメリクリ」目指して頑張ります！,Re:MASTER,34.5,1年半越しのMerry Christmas.,元虹譜面の通常譜面化第n弾　くりぼっちに注ぐ34
Crossing Dimension,MASTER,34.5,Onigiri1360,クソむずいけど綺麗な譜面に仕上がって裏税関ニッコリ
DIE IN,MASTER,34.6,_________,——— xxxx xxxx xxxxxx xxx ———
Designant.,Unauthorized,34.6,Mpjzyo esp Qfefcp…,"_______Caesar said ""41""________"
神鳴,MASTER,34.6,"TraNsforM ""ORIGIN""",実質隔離枠の.7の連中のぞいたら一番むずい説、あります
Sweat & Sour,MASTER,34.6,TraNsforM SUN,さくーじょいつもありがとう！ それはそうと逆詐称かも
DA‘AT -The First Seeker of Souls-,MASTER,34.7,Malody Chartボーイズからの挑戦状,待ち望まれていた曲が満を持して登場、当然この難易度に
Viyella's Tears,MASTER,34.7,mirai,しばらく大人しくしててください
Xaleid◆scopiX,MASTER,34.7,XALEIDXSCOPE,サイゴノキボウ
Retribution,MASTER,35.0,Onigiri1360 supported by Sypher Brezel,やっぱ周年譜面って難易度高くなるよね(^^)v
"祈 -我ら神祖と共に歩む者なり-",MASTER,35.1,"Saki28 customized by Onigiri1360",ちょこっと修正しただけなのにのむ◯むに殺されかけました
The Devil Incarnate,MASTER,35.2,三会頭 powered by nomunomu,empty
Galaxy Collapse,MASTER,35.2,nomunomu supervised by Zakulolita,osu!maniaガチ勢監修　なお俺が作ったとこのがむずいって方々から言われた(のむのむ)
Aether Crest：Celestial,MASTER,35.3,Antinomy Pale alias Saki,私はよくできた譜面だと思いますよ、難しいけど
Tuatha Dé Danann,MASTER,35.3,mirai vs Onigiri1360,これで許してください
Stasis,MASTER,35.4,クソゴミ宇宙船,社会実験
怪獣になりたい,MASTER,35.5,CODE:Seele vs Saki28 vs nomunomu vs Antinomy Pale,大怪獣バトル、怒られたら虹行きです(なお大体悪いのは俺byのむのむ)
≠,RAVAGE,35.7,LimiT Bre³ak EdiT³rs,empty
Xeno Phantasm,MASTER,35.9,Antinomy Pale,8月最後の試練、まさかの単独35(税関死亡)
Traxxendenza,Insane,36.0,Onigiri1360 vs Saki28,ご協力、本当にありがとうございました
"創 -汝ら新世界へ歩む者なり-",MASTER,36.0,TraNsforM PARADISE,"これにてリンクドバースも折り返しですね"
Xaleid◆scopiX,Re:MASTER,36.1,Xaleid◆scopiX,イベント完走、お疲れ様でした！
